English,Japanese
AARON,アロン(モーセの兄;ヘブライ人最初の大祭司とされる)
AESOP,イソップ(イソップ物語を書いたといわれる古代ギリシアの作者)
ALAMO,アラモ(米国Texas州San Antonioにあったフランシスコ派の伝道所;1836年Texas独立戦争の時ここにたてこもった米国人はメキシコ軍の攻撃で全滅した)
ALEUT,(またAleutian)〈C〉アリューシャン列島住民 / アリュート語
ALLAH,アラー神(イスラム教の神)
AMISH,"アンマン(Ammann)派の / アンマン派の信徒(新教のメノー派系に属し,厳格な教義を持つ)"
ANDES,《the ~》アンデス山脈(南米西部の大山脈)
ANGUS,アンガス牛(スコットランド原産の角のない肉牛)
APRIL,『4月』(《略》『Apr』.)
ARDEN,《the Forest of~》アーデンの森(イングランド中部Warwickshireの森林地帯;Shakespeareの喜劇As You Like Itの物語の背景) / 〈C〉桃源郷
ARGUS,アルゴス(雌牛の姿にされた美少女Io[アイオゥ]を見張った100の目を持つギリシア神話の巨人) / 〈C〉厳重な見張り人
ARIES,雄羊座 / (占いで)白羊宮(黄道の第1宮)
ARYAN,アーリア人の;アーリア語族の / アーリア人(印欧語を話した先史時代の民族の一員) / アーリア語族(インドヨーロッパ語族の古称) / (ナチス用語で)非ユダヤ系のコーカソイド人
ASIAN,"『アジアの』,アジアに住む人々の / 『アジア人』"
ATLAS,"アトラス(天を肩にになうという罰を受けた大力のギリシア神話の神;メルカトルの地図書の巻頭に,この神の絵をつけたことから地図書をatlasと呼ぶようになった) / 〈C〉アトラス(米空軍の大陸間誘導弾)"
ATTIC,"アッチカ(Attica)の,アテネ(Athens)の / 古典ふうの,典雅な / アッチカ人,アテネ人;〈U〉アッチカ方言"
AZTEC,〈C〉アステカ人(16世紀にスペイン人に征服されたメキシコ中部にいた種族) / 〈U〉アステカ語
ABACI,abacus(そろばん)の複数形
ABACK,"後へ,後ろに"
ABAFT,船尾に(へ) / …より船尾に
ABASE,"〈品位・地位など〉を落とす,下げる;〈自分〉を卑しめる"
ABASH,"《通例受動態で用いて》…を恥じ入らせる;…をまごつかせる,面くらわせる"
ABATE,"…の勢いを減らす,軽減する / (法律で)〈妨害など〉を排除する;〈効力など〉を停止する / 減る,やわらぐ,弱まる"
ABBEY,"〈C〉大修道院 / 《集合的に》(一院全体の)僧,尼僧 / 〈C〉(大修道院の一部であった)大寺院;《the A-》ウエストミンスター寺院(Westminster Abbey)"
ABBOT,大修道院長
ABEAM,(海事用語で)(…の)真横に《+『of』+『名』》
ABHOR,"…をひどくきらう,嫌悪する"
ABIDE,"(ある状態に)とどまる;残る / 住む / 《まれ》…をじっと待つ / 《否定文・疑問文で》…をがまんする,に耐える"
ABODE,"〈C〉住所,住居 / 〈U〉滞在,居住 / abideの過去・過去分詞"
ABORT,"〈計画などを〉中止する,中断する,やめる,打ち切る / 流産する / 〈動植物や器官などが〉十分に発育しない / 〈計画が〉失敗する,中止となる / 〈胎児〉を流産させる"
ABOUT,"…について,に関して / 《おもに英》(また,おもに《米》『around』)…『の回りに(を)』,の周囲を(で) / 《おもに英》(また,おもに《米》『around』)…『のあちこちに(で,を)』,に点々と / 《おもに英》(また,おもに《米》『around』)…のあたりに(を),の近くに(near) / …『の身の回りに』,を手もとに / …の身辺に,のどこかに / …に従事して,にかかわって / (また《話》『around』)《時を表す名詞を伴って》だいたい…ころ(に) / (また《米》『around』)『周囲に』 / 《おもに英》(また,おもに《米》『around』)『あちこちに』,点々と / 《おもに英》(また,おもに《米》『around』)あたりに / 《しばしば数詞と共に用いて》『およそ』,約 / (また,おもに《米》『around』)ぐるっと回って,反対の位置(方向)に / 順番に,交互に / 《be動詞の後で》(病気・うわさが)広まって;(人の病気がよくなり)元気に動き回って;(ショーなどが)行われて"
ABOVE,"《方向》《fly,go,riseなどの移動を表す動詞と結びついて》…『の上方へ』,より高いところへ / 《場所・位置》…『の上に』,の上方に,さらに高いところに(の) / …『の上流に(で)』,の上手(かみて)に,の北方に,のもっと先(遠く)に / 《数・量・程度》…『以上に』,にまさって / 《be動詞と結びついて》…『の力の及ばない』,を越えて(beyond) / 『上方に(を)』;頭上に高く;上流に / 天に,空に / (特に地位において)高位に / (本・ページの)『前に』,前文に / 前述の,上述の / 前述(上述)のこと"
ABUSE,"〈U〉〈C〉(自分の,あるいは人の権利などの)『乱用』,悪用《+『of』+『名』》 / 〈C〉《しばしば複数形で》悪習,悪弊 / 〈U〉『悪口』,悪態,ののしり / 〈地位・権力など〉を『乱用する』,悪用する / …を『虐待する』(maltreat),酷使する / …を『ののしる』,の悪口をいう"
ABYSS,"底知れぬほど深いもの,奈落"
ACERB,"《まれ》(味が)すっぱい,苦い,渋い / (ことば・態度が)厳しい,しんらつな"
ACHOO,《米》《擬音語》くしゃみの音(=atchoo)
ACORN,どんぐり(カシ・ナラなどの実)
ACRID,"(舌・鼻に)刺激のある,ひりひりする / (言葉・態度・気質が)しんらつな,とげとげしい"
ACTIN,アクチン(筋肉生成に役立つ純蛋白質の一種)
ACTOR,"(男の)『俳優』,『男優』 / 行為者"
ACUTE,"(先の)『鋭い』,とがった / (痛み・感情などが)『激しい』,強い / (知力・感覚などが)『鋭い』,鋭敏な / (事態が)重大な / (病気が)急性の / (音が)高い,鋭い / 鋭角の"
ADAGE,"格言,ことわざ"
ADAPT,"(…に)…を『適応させる』,適合させる《+『名』+『to』+『名』(do『ing』)》 / (…向きに)〈小説・戯曲など〉を『脚色する』,翻案する,書きかえる《+『名』+『for』+『名』》 / (環境などに)適応する,順応する《+『to』+『名』》"
ADDER,計算者 / 計算器 / アダー(北欧・アジア・北米産の小さいマムシの類の毒蛇;北米産は無毒)
ADDLE,"〈卵〉を腐らせる / 《話》〈人,人の頭など〉を混乱させる / 〈卵が〉腐る / 《話》〈人,人の頭などが〉混乱する"
